  	BST 	WAR 	DRK 	RNG 	RUN
Raging Axe 	Detonation SC Icon.png Detonation / Impaction SC Icon.png Impaction 	5 	● 	● 	● 	● 	●
Smash Axe 	Reverberation SC Icon.png Reverberation / Induration SC Icon.png Induration 	40 	● 	● 	● 	● 	●
Gale Axe 	Detonation SC Icon.png Detonation 	70 	● 	● 	● 	● 	●
Avalanche Axe 	Scission SC Icon.png Scission / Impaction SC Icon.png Impaction 	100 	● 	● 	● 	● 	●
Spinning Axe 	Liquefaction SC Icon.png Liquefaction / Scission SC Icon.png Scission / Impaction SC Icon.png Impaction 	150 	● 	● 	● 	× 	×
Rampage 	Scission SC Icon.png Scission 	175 	● 	● 	● 	● 	●
Calamity 	Scission SC Icon.png Scission / Impaction SC Icon.png Impaction 	200 	■ 	■ 	× 	× 	×
Mistral Axe 	Fusion SC Icon.png Fusion 	225 	■ 	■ 	♦ 	× 	♦
Decimation 	Fusion SC Icon.png Fusion / Reverberation SC Icon.png Reverberation 	(Q) 	★ 	★ 	★ 	★ 	★
Bora Axe 	Scission SC Icon.png Scission / Detonation SC Icon.png Detonation 	290 	● 	● 	● 	● 	●
Ruinator 	Distortion SC Icon.png Distortion / Detonation SC Icon.png Detonation 	(Merit) 	★ 	★ 	★ 	★ 	★
Onslaught 	Dark SC Icon.png Darkness / Gravitation SC Icon.png Gravitation 	(Relic) 	★ 	× 	× 	× 	×
Cloudsplitter 	Dark SC Icon.png Darkness / Fragmentation SC Icon.png Fragmentation 	(Empyrean) 	★ 	★ 	× 	× 	×
Primal Rend 	Gravitation SC Icon.png Gravitation / Reverberation SC Icon.png Reverberation 	(Mythic) 	★ 	× 	× 	× 	×
